연번,호선,역  명,관리번호(호기),(근접)출입구번호,시작층(상세위치),시작층(지상_지하),시작층(운행역층),종료층(지상_지하),종료층(운행역층),정원(인원수),정원(중량),승강기 일련번호,데이터 기준일자
1,1호선,서울역(1),내부#1,내부,시청 방면5-1,지하,2,지하,1,11,750,0074-205,2025-03-10
2,1호선,서울역(1),외부#1,2번출구,2번 출구 측,지하,1,지상,1,13,900,0104-656,2025-03-10
3,1호선,서울역(1),외부#2,4번출구,4번 출구 측,지하,1,지상,1,15,1000,0105-867,2025-03-10
4,1호선,서울역(1),외부#3,3번출구,3번 출구 측,지하,1,지상,1,15,1000,0073-979,2025-03-10
5,1호선,시청(1),내부#1,내부,종각 방면3-2,지하,2,지하,1,15,1000,0002-888,2025-03-10
6,1호선,시청(1),내부#2,내부,서울역 방면8-3,지하,2,지하,1,15,1000,0002-887,2025-03-10
7,1호선,시청(1),외부#1,"1,2번출구","1,2번 출구 사이",지하,1,지상,1,15,1000,0002-889,2025-03-10
8,1호선,종각,내부#1,내부,종로3가 방면6-4,지하,2,지하,1,15,1000,0000-506,2025-03-10
9,1호선,종각,내부#2,내부,시청 방면4-4,지하,2,지하,1,15,1000,0000-507,2025-03-10
10,1호선,종각,외부#1,3번출구,3번 출구 측,지하,1,지상,1,15,1000,0000-508,2025-03-10
11,1호선,종각,외부#2,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0113-945,2025-03-10
12,1호선,종로3가(1),내부#1,내부,종로5가 방면5-1,지하,2,지하,1,15,1000,0000-512,2025-03-10
13,1호선,종로3가(1),내부#2,내부,종각 방면6-4,지하,2,지하,1,15,1000,0000-513,2025-03-10
14,1호선,종로3가(1),외부#1,"12,13번출구","12,13번 출구 사이",지하,1,지상,1,15,1000,0073-426,2025-03-10
15,1호선,종로5가,내부#1,내부,동대문(1) 방면8-3,지하,2,지하,1,15,1000,0000-533,2025-03-10
16,1호선,종로5가,내부#2,내부,종로3가 방면3-2,지하,2,지하,1,15,1000,0000-534,2025-03-10
17,1호선,종로5가,외부#1,내부,"8,9번(지하상가) 출구 사이",지하,1,지상,1,15,1150,0155-440,2025-03-10
18,1호선,동대문(1),내부#1,내부,동묘앞 방면10-4,지하,2,지하,1,11,750,0000-906,2025-03-10
19,1호선,동대문(1),내부#2,내부,종로5가 방면2-1,지하,2,지하,1,11,750,0000-907,2025-03-10
20,1호선,동대문(1),외부#1,6번출구,6번 출구 측,지하,1,지상,1,15,1000,0000-905,2025-03-10
21,1호선,동묘앞(1),내부#1,내부,신설동 방면6-2,지하,1,지상,4,15,1000,0000-946,2025-03-10
22,1호선,동묘앞(1),내부#2,내부,신설동 방면10-3,지하,2,지하,1,15,1000,0000-943,2025-03-10
23,1호선,동묘앞(1),내부#3,내부,신설동 방면4-8,지하,2,지하,1,15,1000,0000-947,2025-03-10
24,1호선,동묘앞(1),내부#4,내부,동대문(1) 방면7-3,지하,2,지하,1,15,1000,0000-948,2025-03-10
25,1호선,동묘앞(1),내부#5,내부,동대문(1) 방면1-2,지하,2,지하,1,15,1000,0000-944,2025-03-10
26,1호선,동묘앞(1),외부#1,"1,10번출구","1,10번 출구 사이",지하,1,지상,1,15,1000,0000-945,2025-03-10
27,1호선,동묘앞(1),외부#2,3번출구,3번 출구 측,지하,1,지상,1,15,1000,0000-960,2025-03-10
28,1호선,신설동(1),내부#1,내부,제기동 방면3-4,지하,2,지하,1,15,1000,0083-762,2025-03-10
29,1호선,신설동(1),내부#2,내부,동묘앞 방면8-1,지하,2,지하,1,15,1000,0083-764,2025-03-10
30,1호선,신설동(1),외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0003-532,2025-03-10
31,1호선,신설동(1),외부#2,"2,3번출구","2,3번 출구 사이",지하,1,지상,1,15,1000,0083-761,2025-03-10
32,1호선,신설동(1),외부#3,"4,5번출구","4,5번 출구 사이",지하,1,지상,1,15,1000,0083-763,2025-03-10
33,1호선,제기동,내부#1,내부,청량리 방면9-4,지하,2,지하,1,11,750,0043-600,2025-03-10
34,1호선,제기동,내부#2,내부,신설동 방면2-1,지하,2,지하,1,11,750,0027-701,2025-03-10
35,1호선,제기동,외부#1,1번출구,1번 출구 측,지하,1,지상,1,11,1000,0093-165,2025-03-10
36,1호선,청량리(1),외부#1,6번출구,6번 출구 측,지하,2,지상,1,15,1000,0027-702,2025-03-10
37,1호선,청량리(1),외부#2,2번출구,2번 출구 측,지하,1,지상,1,13,1000,0158-313,2025-03-10
38,2호선,시청(2),내부#1,내부,"충정로 방면6-2, 을지로입구 방면5-3",지하,3,지하,1,13,900,0042-520,2025-03-10
39,2호선,시청(2),외부#1,9번출구,9번 출구 측,지하,1,지상,1,15,1000,0002-886,2025-03-10
40,2호선,을지로입구,내부#1,내부,시청 방면5-3,지하,2,지하,1,15,1000,0003-059,2025-03-10
41,2호선,을지로입구,내부#2,내부,을지로3가 방면6-2,지하,2,지하,1,15,1000,0003-058,2025-03-10
42,2호선,을지로입구,외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0124-101,2025-03-10
43,2호선,을지로입구,외부#2,5번출구,"5,6번 출구 사이",지하,1,지상,1,15,1000,0104-712,2025-03-10
44,2호선,을지로3가(2),내부#1,내부,을지로입구 방면8-3,지하,2,지하,1,15,1000,0042-132,2025-03-10
45,2호선,을지로3가(2),내부#2,내부,을지로4가 방면3-2,지하,2,지하,1,15,1000,0042-133,2025-03-10
46,2호선,을지로4가(2),내부#1,내부,을지로3가 방면3-2,지하,2,지하,1,15,1000,0042-130,2025-03-10
47,2호선,을지로4가(2),내부#2,내부,동대문역사문화공원 방면8-3,지하,2,지하,1,15,1000,0042-131,2025-03-10
48,2호선,을지로4가(2),외부#1,8번출구,8번 출구 측,지하,1,지상,1,15,1000,0102-390,2025-03-10
49,2호선,동대문역사문화공원(2),내부#1,내부,을지로4가 방면8-3,지하,2,지하,1,13,1000,0003-055,2025-03-10
50,2호선,동대문역사문화공원(2),내부#2,내부,신당 방면3-2,지하,2,지하,1,13,1000,0003-056,2025-03-10
51,2호선,동대문역사문화공원(2),외부#1,1번출구,1번 출구 측,지하,1,지상,1,17,1000,0039-324,2025-03-10
52,2호선,신당(2),외부#1,2번출구,2번 출구 측,지하,1,지상,1,15,1000,0004-367,2025-03-10
53,2호선,신당(2),내부#1,내부,동대문역사문화공원 방면3-4,지하,2,지하,1,15,1000,0103-796,2025-03-10
54,2호선,신당(2),내부#2,내부,상왕십리 방면7-4,지하,2,지하,1,15,900,0103-797,2025-03-10
55,2호선,상왕십리,내부#1,내부,신당 방면8-1,지하,2,지하,1,15,1000,0042-156,2025-03-10
56,2호선,상왕십리,내부#2,내부,왕십리 방면3-4,지하,2,지하,1,15,1000,0042-157,2025-03-10
57,2호선,상왕십리,외부#1,"2,3번출구",1-1번 출구 측,지하,1,지상,1,24,1600,0117-183,2025-03-10
58,2호선,왕십리(2),내부#1,내부,상왕십리 방면3-2,지하,2,지하,1,15,1000,0003-466,2025-03-10
59,2호선,왕십리(2),내부#2,내부,한양대 방면3-4,지하,2,지하,1,15,1000,0068-689,2025-03-10
60,2호선,한양대,내부#1,내부,왕십리 방면3-3,지상,1,지상,2,8,600,0042-129,2025-03-10
61,2호선,한양대,외부#1,4번출구,4번 출구(육교) 측,지상,1,지상,2,15,1000,0042-128,2025-03-10
62,2호선,뚝섬,내부#1,내부,한양대 방면7-1,지상,2,지상,3,15,1000,0003-051,2025-03-10
63,2호선,뚝섬,내부#2,내부,성수 방면7-1,지상,2,지상,3,13,1000,0003-050,2025-03-10
64,2호선,뚝섬,외부#1,3번출구,3번 출구 측,지상,1,지상,2,13,1000,0003-049,2025-03-10
65,2호선,뚝섬,외부#2,6번출구,6번 출구 측,지상,1,지상,2,15,1000,0131-787,2025-03-10
66,2호선,성수,내부#1,내부,뚝섬 방면7-1,지상,2,지상,3,9,600,0074-865,2025-03-10
67,2호선,성수,내부#2,내부,건대입구 방면4-4,지상,2,지상,3,9,600,0074-866,2025-03-10
68,2호선,성수,외부#1,1번출구,1번 출구 측,지상,1,지상,2,15,1000,0039-325,2025-03-10
69,2호선,성수,외부#2,4번출구,4번 출구 측,지상,1,지상,2,15,1000,0039-327,2025-03-10
70,2호선,용답,내부#1,내부,신답 방면2-2,지상,2,지상,3,10,750,0158-589,2025-03-10
71,2호선,용답,내부#2,내부,성수 방면3-3,지상,2,지상,3,10,750,0158-588,2025-03-10
72,2호선,신답,내부#1,내부,용두 방면2-4,지상,1,지상,2,11,750,0039-326,2025-03-10
73,2호선,신답,내부#2,내부,용답 방면3-2,지상,1,지상,2,15,1000,0104-461,2025-03-10
74,2호선,용두,내부#1,내부,신설동 방면4-3,지하,2,지상,1,15,1000,0054-021,2025-03-10
75,2호선,용두,내부#2,내부,신답 방면1-1,지하,2,지상,1,15,1000,0054-022,2025-03-10
76,2호선,용두,외부#1,3번출구,3번 출구 측,지하,1,지상,1,15,1000,0054-023,2025-03-10
77,2호선,용두,외부#2,4번출구,4번 출구 측,지하,1,지상,1,15,1000,0054-024,2025-03-10
78,2호선,신설동(2),내부#1,내부,신설동 방면4-4,지하,2,지하,1,15,1000,0027-703,2025-03-10
79,2호선,신설동(2),외부#1,9번출구,9번 출구 측,지하,1,지상,1,15,1000,0044-516,2025-03-10
80,2호선,건대입구(2),내부#1,내부,성수 방면5-4,지상,2,지상,3,15,1000,0108-564,2025-03-10
81,2호선,건대입구(2),외부#1,6번출구,"구의 방면7-3, 6번 출구 측",지상,1,지상,3,20,1350,0095-448,2025-03-10
82,2호선,구의,내부#1,내부,건대입구 방면4-3,지상,2,지상,3,13,900,0028-196,2025-03-10
83,2호선,구의,외부#1,2번출구,"강변 방면7-2, 2번 출구 측",지상,1,지상,3,13,900,0028-197,2025-03-10
84,2호선,강변,내부#1,내부,구의 방면4-2,지상,1,지상,2,15,1000,0093-166,2025-03-10
85,2호선,강변,내부#2,내부,잠실나루 방면7-3,지상,1,지상,2,15,1000,0093-167,2025-03-10
86,2호선,잠실나루,내부#1,내부,강변 방면3-4,지상,1,지상,2,11,750,0012-789,2025-03-10
87,2호선,잠실나루,내부#2,내부,잠실 방면8-1,지상,1,지상,2,11,750,0012-790,2025-03-10
88,2호선,잠실(2),내부#1,내부,잠실나루 방면5-2,지하,2,지하,1,15,1000,0007-841,2025-03-10
89,2호선,잠실(2),내부#2,내부,잠실새내 방면6-3,지하,2,지하,1,13,1000,0007-842,2025-03-10
90,2호선,잠실(2),외부#1,6번출구,6번 출구 측,지하,1,지상,1,15,1000,0065-637,2025-03-10
91,2호선,잠실(2),외부#2,내부,1번 출구 측,지하,1,지상,1,15,1000,0089-517,2025-03-10
92,2호선,잠실새내,내부#1,내부,잠실방면7-3,지하,2,지하,1,13,1000,0008-945,2025-03-10
93,2호선,잠실새내,내부#2,내부,종합운동장 방면4-1,지하,2,지하,1,15,1000,0008-946,2025-03-10
94,2호선,잠실새내,외부#1,7번출구,7번 출구 측,지하,1,지상,1,15,1000,0075-476,2025-03-10
95,2호선,잠실새내,외부#2,2번출구,2번 출구 측,지하,1,지상,1,15,1000,0008-670,2025-03-10
96,2호선,종합운동장(2),내부#1,내부,잠실새내 방면2-4,지하,2,지하,1,15,1000,0008-146,2025-03-10
97,2호선,종합운동장(2),내부#2,내부,삼성 방면8-4,지하,2,지하,1,15,1000,0008-147,2025-03-10
98,2호선,종합운동장(2),외부#1,6번출구,6번 출구 측,지하,1,지상,1,15,1000,0008-148,2025-03-10
99,2호선,삼성,내부#1,내부,"종합운동장 방면3-1, 선릉 방면8-4",지하,2,지하,1,8,600,0007-844,2025-03-10
100,2호선,삼성,외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0007-843,2025-03-10
101,2호선,삼성,외부#2,6번출구,6번 출구 측,지하,1,지상,1,15,1000,0014-060,2025-03-10
102,2호선,삼성,외부#3,8번출구,8번 출구 측,지하,1,지상,1,13,1000,0075-477,2025-03-10
103,2호선,삼성,외부#4,4번출구,4번 출구 측,지하,1,지상,1,15,1000,0105-289,2025-03-10
104,2호선,선릉(2),외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0066-856,2025-03-10
105,2호선,선릉(2),외부#2,5번출구,5번 출구 측,지하,1,지상,1,15,1000,0105-099,2025-03-10
106,2호선,선릉(2),외부#3,10번출구,10번 출구 측,지하,1,지상,1,15,1000,0072-904,2025-03-10
107,2호선,역삼,내부#1,내부,선릉 방면7-3,지하,2,지하,1,13,1000,0075-561,2025-03-10
108,2호선,역삼,내부#2,내부,강남 방면4-1,지하,2,지하,1,15,1000,0075-562,2025-03-10
109,2호선,역삼,외부#1,3번출구,3번 출구 측,지하,1,지상,1,11,1000,0065-638,2025-03-10
110,2호선,역삼,외부#2,4번출구,4번 출구 측,지하,1,지상,1,11,750,0075-563,2025-03-10
111,2호선,강남(2),내부#1,내부,역삼 방면8-1,지하,2,지하,1,15,1000,0087-544,2025-03-10
112,2호선,강남(2),내부#2,내부,교대 방면3-4,지하,2,지하,1,15,1000,0087-545,2025-03-10
113,2호선,강남(2),외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0087-546,2025-03-10
114,2호선,강남(2),외부#2,10번출구,10번 출구 측,지하,1,지상,1,13,1000,0087-547,2025-03-10
115,2호선,교대(2),내부#1,내부,강남 방면8-4,지하,2,지하,1,15,1000,0008-151,2025-03-10
116,2호선,교대(2),내부#2,내부,서초 방면3-1,지하,2,지하,1,15,1000,0008-152,2025-03-10
117,2호선,교대(2),외부#1,5번출구,5번 출구 측,지하,1,지상,1,15,1000,0046-583,2025-03-10
118,2호선,서초,내부#1,내부,교대 방면2-4,지하,2,지하,1,13,900,0008-943,2025-03-10
119,2호선,서초,내부#2,내부,방배 방면9-1,지하,2,지하,1,13,900,0008-944,2025-03-10
120,2호선,서초,외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0075-478,2025-03-10
121,2호선,서초,외부#2,4번출구," 3,4번 출구 측",지하,1,지상,1,15,1000,0072-667,2025-03-10
122,2호선,방배,내부#1,내부,서초 방면8-3,지하,2,지하,1,11,750,0008-947,2025-03-10
123,2호선,방배,내부#2,내부,사당 방면3-1,지하,2,지하,1,11,750,0008-948,2025-03-10
124,2호선,방배,외부#1,3번출구,3번 출구 측,지하,1,지상,1,11,1000,0046-582,2025-03-10
125,2호선,사당(2),내부#1,내부,방배 방면4-4,지하,2,지하,1,15,1000,0091-437,2025-03-10
126,2호선,사당(2),외부#1,14번출구,14번 출구 측,지하,1,지상,1,15,1000,0091-438,2025-03-10
127,2호선,사당(2),외부#2,6번출구,6번 출구 측,지하,1,지상,1,15,1000,0098-381,2025-03-10
128,2호선,낙성대,내부#1,내부,사당 방면8-2,지하,2,지하,1,15,1000,0020-064,2025-03-10
129,2호선,낙성대,내부#2,내부,서울대입구 방면3-3,지하,2,지하,1,15,1000,0020-065,2025-03-10
130,2호선,낙성대,외부#1,6번출구,6번 출구 측,지하,1,지상,1,15,1000,0020-066,2025-03-10
131,2호선,서울대입구,내부#1,내부,"봉천 방면6-2, 낙성대 방면5-3",지하,2,지하,1,11,750,0020-839,2025-03-10
132,2호선,서울대입구,외부#1,6번출구,6번 출구 측,지하,1,지상,1,9,750,0110-204,2025-03-10
133,2호선,서울대입구,외부#2,2번출구,2번 출구 측,지하,1,지상,1,9,750,0114-806,2025-03-10
134,2호선,봉천,내부#1,내부,"신림 방면4-4, 서울대 방면7-4",지하,2,지하,1,10,750,0060-936,2025-03-10
135,2호선,봉천,외부#1,4번출구,4번 출구 측,지하,1,지상,1,15,750,0060-937,2025-03-10
136,2호선,신림,내부#1,내부,"신대방 방면2-3, 봉천 방면7-4",지하,2,지하,1,15,1000,0019-759,2025-03-10
137,2호선,신림,외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0019-760,2025-03-10
138,2호선,신림,외부#2,5번출구,5번 출구 측,지하,1,지상,1,15,1000,0092-886,2025-03-10
139,2호선,신대방,내부#1,내부,신림방면 3-4,지상,2,지상,3,11,750,0020-955,2025-03-10
140,2호선,신대방,내부#2,내부,구로디지털단지 방면8-1,지상,2,지상,3,11,750,0020-956,2025-03-10
141,2호선,신대방,외부#1,1번출구,1번 출구 측,지상,1,지상,2,11,750,0020-957,2025-03-10
142,2호선,구로디지털단지,내부#1,1번출구,신대방 방면3-4,지상,1,지상,2,11,1000,0019-757,2025-03-10
143,2호선,구로디지털단지,내부#2,내부,대림 방면7-4,지상,2,지상,3,11,1000,0019-758,2025-03-10
144,2호선,구로디지털단지,외부#1,6번출구,6번 출구 측,지상,2,지상,3,11,1000,0019-756,2025-03-10
145,2호선,구로디지털단지,외부#2,"2,3번출구","2,3번 출구 사이",지상,1,지상,2,21,1600,0156-754,2025-03-10
146,2호선,대림(2),외부#1,7번출구,7번 출구 측,지상,1,지상,2,15,1000,0107-009,2025-03-10
147,2호선,대림(2),외부#2,4번출구,4번 출구 측,지상,1,지상,2,15,1000,0060-929,2025-03-10
148,2호선,대림(2),내부1,내부,구로디지털단지 방면3-2,지상,2,지상,3,15,1000,0060-928,2025-03-10
149,2호선,대림(2),내부2,내부,신도림 방면8-3,지상,2,지상,3,15,1000,0060-927,2025-03-10
150,2호선,신도림(2),내부#1,내부,"대림 방면4-4, 문래 방면7-4",지하,2,지하,1,15,1000,0085-969,2025-03-10
151,2호선,신도림(2),내부#2,내부,대림 방면3-2,지하,2,지하,1,15,1000,0098-197,2025-03-10
152,2호선,신도림(2),외부#1,1번출구,1번 출구 측,지하,1,지상,2,17,1150,0109-522,2025-03-10
153,2호선,신도림(2),외부#2,2번출구,2번 출구 측,지하,1,지상,1,15,1000,0098-196,2025-03-10
154,2호선,도림천,내부#1,내부,신도림 방면4-4,지하,3,지하,2,11,750,0022-597,2025-03-10
155,2호선,도림천,외부#1,"1,2번출구",도림천 방면2-4,지하,3,지하,1,11,750,0022-596,2025-03-10
156,2호선,양천구청,내부#1,내부,신정네거리 방면4-1,지하,2,지하,1,11,750,0020-959,2025-03-10
157,2호선,양천구청,내부#2,내부,도림천 방면3-3,지하,2,지하,1,11,750,0020-960,2025-03-10
158,2호선,양천구청,외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0020-958,2025-03-10
159,2호선,신정네거리,내부#1,내부,까치산 방면4-1,지하,3,지하,2,15,1000,0060-930,2025-03-10
160,2호선,신정네거리,내부#2,내부,양천구청 방면3-4,지하,3,지하,2,15,1000,0060-931,2025-03-10
161,2호선,신정네거리,외부#1,"2,3번출구",2번 출구 측,지하,2,지상,1,15,1000,0060-932,2025-03-10
162,2호선,문래,내부#1,내부,신도림 방면7-4,지하,2,지하,1,15,1000,0021-258,2025-03-10
163,2호선,문래,내부#2,내부,영등포구청 방면4-1,지하,2,지하,1,15,1000,0021-259,2025-03-10
164,2호선,문래,외부#1,5번출구,5번 출구 측,지하,1,지상,1,15,1000,0107-085,2025-03-10
165,2호선,문래,외부#2,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0133-667,2025-03-10
166,2호선,영등포구청(2),내부#1,내부,문래 방면8-4,지하,2,지하,1,15,1000,0021-255,2025-03-10
167,2호선,영등포구청(2),내부#2,내부,당산 방면3-1,지하,2,지하,1,15,1000,0021-256,2025-03-10
168,2호선,영등포구청(2),외부#1,2번출구,2번 출구 측,지하,1,지상,1,15,1000,0021-254,2025-03-10
169,2호선,영등포구청(2),외부#2,5번출구,5번 출구 측,지하,1,지상,1,13,1000,0157-040,2025-03-10
170,2호선,당산(2),내부#1,내부,영등포구청 방면8-3,지상,2,지상,3,11,750,0020-068,2025-03-10
171,2호선,당산(2),내부#2,내부,합정 방면3-2,지상,2,지상,3,11,750,0020-069,2025-03-10
172,2호선,당산(2),외부#1,4번출구,4번 출구 측,지상,1,지상,2,11,750,0020-067,2025-03-10
173,2호선,당산(2),외부#2,3번출구,3번 출구 측,지상,1,지상,2,13,1000,0156-907,2025-03-10
174,2호선,합정(2),내부#1,내부,당산 방면4-1,지하,2,지하,1,15,1000,0073-427,2025-03-10
175,2호선,합정(2),내부#2,내부,홍대입구 방면7-3,지하,2,지하,1,15,1000,0042-092,2025-03-10
176,2호선,합정(2),외부#1,1번출구,"1,2번 출구 사이",지하,1,지상,1,15,1000,0103-758,2025-03-10
177,2호선,합정(2),외부#2,4번출구,"3,4번 출구 사이",지하,1,지상,1,15,1000,0073-978,2025-03-10
178,2호선,홍대입구(2),내부#1,내부,"합정 방면7-2, 신촌 방면4-3",지하,2,지하,1,15,1000,0102-349,2025-03-10
179,2호선,홍대입구(2),외부#1,8번출구,8번 출구 측,지하,1,지상,1,15,1000,0102-350,2025-03-10
180,2호선,신촌,내부#1,내부,홍대입구 방면8-4,지하,2,지하,1,15,1000,0102-373,2025-03-10
181,2호선,신촌,내부#2,내부,이대 방면4-4,지하,2,지하,1,15,1000,0102-374,2025-03-10
182,2호선,신촌,외부#1,4번출구,4번 출구 측,지하,1,지상,1,15,1000,0039-954,2025-03-10
183,2호선,신촌,외부#2,6번출구,6번 출구 측,지하,1,지상,1,15,1000,0127-889,2025-03-10
184,2호선,이대,내부#1,내부,"신촌 방면2-2, 아현 방면9-3",지하,2,지하,1,11,750,0102-372,2025-03-10
185,2호선,이대,외부#1,6번출구,6번 출구 측,지하,1,지상,1,15,1000,0042-093,2025-03-10
186,2호선,이대,외부#2,2번출구,2번 출구 측,지하,1,지상,1,13,1000,0152-647,2025-03-10
187,2호선,아현,내부#1,내부,이대 방면7-2,지하,2,지하,1,15,1000,0102-369,2025-03-10
188,2호선,아현,내부#2,내부,충정로 방면4-3,지하,2,지하,1,15,1000,0102-370,2025-03-10
189,2호선,아현,외부#1,3번출구,3번 출구 측,지하,1,지상,1,15,1000,0042-109,2025-03-10
190,2호선,아현,외부#2,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0129-011,2025-03-10
191,2호선,충정로(2),내부#1,내부,"아현 방면2-1, 시청 방면9-4",지하,3,지하,2,13,900,0039-953,2025-03-10
192,2호선,충정로(2),외부#1,5번출구,5번 출구 측,지하,2,지상,1,9,600,0105-868,2025-03-10
193,3호선,지축,내부#1,내부,"삼송 방면2-1, 구파발 방면9-4",지상,1,지상,2,15,1000,2040-730,2025-03-10
194,3호선,구파발,내부#1,내부,"지축 방면5-3, 연신내 방면6-2",지하,2,지하,1,15,1000,0081-259,2025-03-10
195,3호선,구파발,외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0081-260,2025-03-10
196,3호선,연신내(3),내부#1,내부,"구파발 방면6-1, 불광 방면5-4",지하,2,지하,1,13,1000,0102-345,2025-03-10
197,3호선,불광(3),내부#1,내부,연신내 방면3-3,지하,2,지하,1,11,750,0039-994,2025-03-10
198,3호선,불광(3),내부#2,내부,녹번 방면8-2,지하,2,지하,1,11,750,0002-833,2025-03-10
199,3호선,불광(3),외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0102-055,2025-03-10
200,3호선,불광(3),외부#2,3번출구,3번 출구 측,지하,1,지상,1,13,1000,0161-352,2025-03-10
201,3호선,녹번,내부#1,내부,"불광 방면3-1, 홍제 방면8-4",지하,2,지하,1,15,1000,0102-399,2025-03-10
202,3호선,녹번,외부#1,3번출구,3번 출구 측,지하,1,지상,1,15,1000,0080-695,2025-03-10
203,3호선,녹번,외부#2,1번출구,1번 출구 측,지하,1,지상,1,17,1150,0127-909,2025-03-10
204,3호선,홍제,내부#1,내부,"녹번 방면3-4, 무악재 방면8-1",지하,3,지하,2,11,750,0102-346,2025-03-10
205,3호선,홍제,외부#1,4번출구,4번 출구 측,지하,2,지상,1,11,750,0039-995,2025-03-10
206,3호선,홍제,외부#2,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0073-438,2025-03-10
207,3호선,무악재,내부#1,내부,홍제 방면3-3,지하,3,지하,2,11,750,0082-061,2025-03-10
208,3호선,무악재,내부#2,내부,독립문 방면8-2,지하,3,지하,2,11,750,0082-062,2025-03-10
209,3호선,무악재,외부#1,1번출구,1번 출구 측,지하,2,지상,1,11,750,0082-063,2025-03-10
210,3호선,독립문,내부#1,내부,"무악재 방면9-1, 경복궁 방면2-4",지하,3,지하,2,15,1000,0039-996,2025-03-10
211,3호선,독립문,외부#1,4번출구,4번 출구 측,지하,2,지상,1,15,1000,0102-347,2025-03-10
212,3호선,경복궁,내부#1,내부,"독립문 방면6-2, 안국 방면5-3",지하,3,지하,2,11,1000,0000-388,2025-03-10
213,3호선,경복궁,외부#1,4번출구,4번 출구 측,지하,2,지상,1,11,1000,0000-719,2025-03-10
214,3호선,안국,내부#1,내부,"경복궁 방면3-2, 종로3가 방면8-3",지하,3,지하,2,15,1000,0000-591,2025-03-10
215,3호선,안국,외부#1,6번출구,6번 출구 측,지하,2,지상,1,15,1000,0000-592,2025-03-10
216,3호선,종로3가(3),내부#1,내부,"안국 방면4-3, 을지로3가 방면7-1",지하,4,지하,2,15,1000,0125-744,2025-03-10
217,3호선,종로3가(3),외부#1,8번출구,8번 출구 측,지하,1,지상,1,15,1000,0125-743,2025-03-10
218,3호선,을지로3가(3),내부#1,내부,"종로3가 방면6-3, 충무로 방면5-2",지하,3,지하,1,15,750,0040-427,2025-03-10
219,3호선,을지로3가(3),외부#1,10번출구,10번 출구 측,지하,1,지상,1,15,750,0040-428,2025-03-10
220,3호선,동대입구,내부#1,내부,"충무로 방면3-1, 약수 방면8-4",지하,3,지하,2,15,1000,0003-046,2025-03-10
221,3호선,동대입구,내부#2,내부,대합실(F계단 측),지하,2,지하,1,16,1000,0118-605,2025-03-10
222,3호선,동대입구,외부#1,6번출구,6번 출구 측,지하,2,지상,1,15,1000,0102-299,2025-03-10
223,3호선,동대입구,외부#2,2번출구,2번 출구 측,지하,2,지상,1,13,1000,0158-563,2025-03-10
224,3호선,약수(3),내부#1,내부,"동대입구 방면8-4, 금호 방면3-1",지하,2,지하,1,13,1000,0102-482,2025-03-10
225,3호선,약수(3),외부#1,3번출구,3번 출구 측,지하,1,지상,1,15,1000,0073-377,2025-03-10
226,3호선,금호,내부#1,내부,"약수 방면3-2, 옥수 방면8-3",지하,2,지하,1,15,1000,0102-309,2025-03-10
227,3호선,금호,외부#1,2번출구,2번 출구 측,지하,1,지상,1,15,1000,0041-329,2025-03-10
228,3호선,금호,외부#2,3번출구,3번 출구 측,지하,1,지상,1,15,1000,0145-645,2025-03-10
229,3호선,옥수(3),내부#1,내부,금호 방면10-1,지상,2,지상,3,15,1000,0074-036,2025-03-10
230,3호선,옥수(3),내부#2,내부,압구정 방면1-2,지상,2,지상,3,15,1000,0074-037,2025-03-10
231,3호선,옥수(3),외부#1,"4,5번출구","4,5번 출구 측",지상,1,지상,2,15,900,0040-429,2025-03-10
232,3호선,압구정,내부#1,내부,옥수 방면8-2,지하,2,지하,1,11,750,0033-201,2025-03-10
233,3호선,압구정,내부#2,내부,신사 방면3-2,지하,2,지하,1,11,750,0033-202,2025-03-10
234,3호선,압구정,외부#1,3번출구,3번 출구 측,지하,1,지상,1,15,1000,0137-278,2025-03-10
235,3호선,압구정,외부#2,2번출구,2번 출구 측,지하,1,지상,1,15,1000,0108-323,2025-03-10
236,3호선,신사,내부#1,내부,압구정 방면3-1,지하,2,지하,1,15,1000,0049-398,2025-03-10
237,3호선,신사,내부#2,내부,잠원 방면8-3,지하,2,지하,1,15,1000,0049-407,2025-03-10
238,3호선,신사,외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0099-799,2025-03-10
239,3호선,신사,외부#2,8번출구,8번 출구 측,지하,1,지상,1,15,1000,0110-416,2025-03-10
240,3호선,잠원,내부#1,내부,신사 방면3-3,지하,2,지하,1,11,1000,0033-321,2025-03-10
241,3호선,잠원,내부#2,내부,고속터미널 방면8-2,지하,2,지하,1,15,1000,0035-271,2025-03-10
